""	Length	gencodeID	ensemblID	gene_type	Symbol	EntrezID	Class	meanExprs	NumTx	gencodeTx	logFC	AveExpr	t	P.Value	adj.P.Val	B	SE
ENSG00000253683.1	192	ENSG00000253683.1	ENSG00000253683	processed_pseudogene	CTB-79E8.3		InGen	39.6348967865482	1	ENST00000520566.1	0.317518474518245	3.25207036426341	8.0967252828076	1.10133137598765e-14	2.49792969387759e-10	22.6081439130381	0.0611819042387135
ENSG00000204065.2	1168	ENSG00000204065.2	ENSG00000204065	protein_coding	TCEAL5	340543	InGen	48.9268816238053	1	ENST00000372680.1	0.218905586323515	6.22721960088996	7.71788154139839	1.42044698537719e-13	1.610857903767e-09	20.322659324485	0.0850447416883672
ENSG00000156831.7	2991	ENSG00000156831.7	ENSG00000156831	protein_coding	NSMCE2	286053	InGen	2.2827507872482	13	ENST00000523741.5|ENST00000519010.5|ENST00000520866.5|ENST00000517532.5|ENST00000287437.7|ENST00000518013.5|ENST00000523824.5|ENST00000522563.5|ENST00000518146.5|ENST00000523549.1|ENST00000519712.1|ENST00000517315.1|ENST00000521460.1	0.184677600248292	3.08549175359531	7.64451738879295	2.30898556854953e-13	1.74567005600907e-09	19.6877885515205	0.131762277843582
ENSG00000171530.13	3058	ENSG00000171530.13	ENSG00000171530	protein_coding	TBCA	6902	InGen	14.6380551925148	9	ENST00000380377.8|ENST00000518218.5|ENST00000517679.5|ENST00000306388.10|ENST00000520361.5|ENST00000517881.1|ENST00000518338.6|ENST00000522370.1|ENST00000520039.1	0.194864735002337	5.72465128104335	7.34264960614144	1.64920566280007e-12	9.35140840949212e-09	17.9525505392328	0.153230412074247
ENSG00000204071.10	1375	ENSG00000204071.10	ENSG00000204071	protein_coding	TCEAL6	158931	InGen	34.157373484269	2	ENST00000372774.7|ENST00000372773.1	0.188203482080645	5.9711596100985	7.2780610543074	2.49412358227374e-12	1.10424916058268e-08	17.5520262653239	0.145936943794313
ENSG00000198618.5	498	ENSG00000198618.5	ENSG00000198618	processed_pseudogene	PPIAP22		InGen	78.1915170817094	1	ENST00000358455.4	0.332045271331765	5.65993425539986	7.253278698987	2.92116527644111e-12	1.10424916058268e-08	17.4009263998978	0.0489219507005328
ENSG00000243147.7	1539	ENSG00000243147.7	ENSG00000243147	protein_coding	MRPL33	9553	InGen	15.4867884475398	6	ENST00000379666.7|ENST00000296102.7|ENST00000448427.1|ENST00000472192.1|ENST00000483992.5|ENST00000476552.1	0.229689748120117	4.98056238780039	7.21704716414583	3.67801288344172e-12	1.19172871727631e-08	17.1816662121936	0.0962567321170929
ENSG00000196507.10	2305	ENSG00000196507.10	ENSG00000196507	protein_coding	TCEAL3	85012	InGen	27.1783159430016	4	ENST00000372628.5|ENST00000243286.7|ENST00000372627.9|ENST00000477014.1	0.20019303393352	6.42238522659638	7.09705229315273	7.84339484423232e-12	2.22370048077541e-08	16.440686155653	0.0883013662078183
ENSG00000189043.9	3556	ENSG00000189043.9	ENSG00000189043	protein_coding	NDUFA4	4697	InGen	72.8532599650181	6	ENST00000339600.5|ENST00000482299.1|ENST00000470761.5|ENST00000486007.1|ENST00000463308.1|ENST00000492822.1	0.202799378889373	8.4460796151464	7.02967959405643	1.19529146863886e-11	3.01226731113311e-08	16.0242720559441	0.0945032605023648
ENSG00000204253.4	881	ENSG00000204253.4	ENSG00000204253	processed_pseudogene	HNRNPCP2		InGen	10.8330948745419	1	ENST00000399515.2	0.288321796405322	3.44566052137291	6.92024410192634	2.35534689937882e-11	5.34216230248111e-08	15.3533573738055	0.417850323998986
ENSG00000176731.11	2514	ENSG00000176731.11	ENSG00000176731	protein_coding	C8orf59	401466	InGen	3.48847163100958	13	ENST00000619594.4|ENST00000614462.4|ENST00000612977.4|ENST00000615071.1|ENST00000612809.4|ENST00000545322.5|ENST00000611854.4|ENST00000615697.4|ENST00000523281.5|ENST00000523245.1|ENST00000321777.5|ENST00000518786.1|ENST00000521286.1	0.261209698938659	3.41428199690455	6.87707204387205	3.07160769698877e-11	6.33337583412749e-08	15.1025588547241	0.100021740972533
ENSG00000232112.3	1139	ENSG00000232112.3	ENSG00000232112	protein_coding	TMA7	51372	InGen	24.7028209643684	3	ENST00000479126.1|ENST00000438607.2|ENST00000477624.1	0.203768293007334	5.08531798334859	6.83552060812338	3.96153071178445e-11	7.14055436339518e-08	14.8933490257763	0.13253403282965
ENSG00000106244.12	2854	ENSG00000106244.12	ENSG00000106244	protein_coding	PDAP1	11333	InGen	24.9161674036027	5	ENST00000496335.1|ENST00000350498.7|ENST00000426447.3|ENST00000488214.1|ENST00000626285.1	0.137364028505938	6.47471612614923	6.83018661492779	4.09272989392608e-11	7.14055436339518e-08	14.8447385968473	0.141631348752263
ENSG00000165264.10	1388	ENSG00000165264.10	ENSG00000165264	protein_coding	NDUFB6	4712	InGen	22.8340230580837	3	ENST00000379847.7|ENST00000366466.5|ENST00000350021.2	0.162428310766905	5.37013132573972	6.79027797303383	5.21954404754156e-11	8.12061220620529e-08	14.6235959804725	0.211356392930605
