""	Length	gencodeID	ensemblID	gene_type	Symbol	EntrezID	Class	meanExprs	NumTx	gencodeTx	logFC	AveExpr	t	P.Value	adj.P.Val	B	SE
ENSG00000154655.15	7959	ENSG00000154655.15	ENSG00000154655	protein_coding	L3MBTL4	91133	InGen	0.808041352274413	8	ENST00000400105.6|ENST00000317931.11|ENST00000400104.7|ENST00000583054.5|ENST00000583809.5|ENST00000581231.5|ENST00000580162.1|ENST00000578677.1	0.147653099839347	2.91441132007643	5.43659023751222	1.00366673483015e-07	0.0020861173235508	7.4509875236831	0.0519691627063115
ENSG00000035862.12	5633	ENSG00000035862.12	ENSG00000035862	protein_coding	TIMP2	7077	InGen	26.9403934620899	5	ENST00000585421.5|ENST00000536189.6|ENST00000262768.11|ENST00000586057.5|ENST00000592761.2	0.116756512170147	7.48509460963425	5.2505087972417	2.5989419510838e-07	0.0020861173235508	6.41889574890816	0.0765936129397676
ENSG00000130045.15	2442	ENSG00000130045.15	ENSG00000130045	protein_coding	NXNL2	158046	InGen	0.212921474259715	5	ENST00000618633.1|ENST00000375854.7|ENST00000487646.2|ENST00000375855.3|ENST00000478686.1	0.359560788910275	-0.693006540165372	5.23601398612528	2.79577930339621e-07	0.0020861173235508	5.8055103198398	0.138414178944257
ENSG00000231738.10	4085	ENSG00000231738.10	ENSG00000231738	protein_coding	TSPAN19	144448	InGen	0.326410320778051	8	ENST00000525452.2|ENST00000529820.1|ENST00000532498.6|ENST00000532628.5|ENST00000433494.8|ENST00000547403.2|ENST00000552392.5|ENST00000547836.1	0.294348591057581	0.722184157182846	5.12357653812371	4.89862112479313e-07	0.00274139084696236	5.78145120841962	0.127316537450953
ENSG00000100092.20	6170	ENSG00000100092.20	ENSG00000100092	protein_coding	SH3BP1	23616	InGen	0.774774965968477	8	ENST00000417536.5|ENST00000357436.4|ENST00000451997.5|ENST00000469947.5|ENST00000495174.5|ENST00000471650.5|ENST00000459646.1|ENST00000466097.1	-0.204426178596557	2.66476660276086	-5.0772718512091	6.15393597683552e-07	0.00275460564694427	5.76217379820104	0.0420016601858243
ENSG00000151882.11	4524	ENSG00000151882.11	ENSG00000151882	protein_coding	CCL28	56477	InGen	0.38897085160289	4	ENST00000489442.5|ENST00000361115.4|ENST00000513525.1|ENST00000514421.1	0.202754226049656	1.09809149458046	5.04005995858494	7.38335219194354e-07	0.00275460564694427	5.48029369013225	0.0781546663598669
ENSG00000237949.1	477	ENSG00000237949.1	ENSG00000237949	lincRNA	LINC00844		InGen	33.3644150500199	1	ENST00000432535.1	0.299525705102904	4.08797858860736	4.85884512489845	1.76506967320633e-06	0.00561068113768104	4.73037564230591	0.0762939852793272
ENSG00000070886.11	5358	ENSG00000070886.11	ENSG00000070886	protein_coding	EPHA8	2046	InGen	0.340335166786604	2	ENST00000374644.8|ENST00000166244.7	0.212372155007936	0.898865715814111	4.83187070204083	2.00515743138031e-06	0.00561068113768104	4.56982505741211	0.0954848799976222
ENSG00000272631.1	6545	ENSG00000272631.1	ENSG00000272631	antisense	RP11-359E3.4		InGen	0.29333516830309	1	ENST00000608826.1	0.167324030354925	1.19701612119538	4.79288919760829	2.40851461784612e-06	0.00599051108005394	4.4341481558153	0.33227596886709
ENSG00000132911.4	2345	ENSG00000132911.4	ENSG00000132911	protein_coding	NMUR2	56923	InGen	0.106363974059987	2	ENST00000255262.3|ENST00000518933.1	0.471092060487925	-2.09484875745224	4.75103320774645	2.92846092868951e-06	0.00655535978887146	3.22980783103416	0.0785087735727562
